Mass,Forest,treatment,intensity
255.232955,HW,PreFenton,0
281.1394875,HW,PreFenton,0
281.248609,HW,PreFenton,0
283.155135,HW,PreFenton,0
285.13443,HW,PreFenton,0
287.22279125,HW,PreFenton,0
293.175834285714,HW,PreFenton,0
293.1792075,HW,PreFenton,0
295.118723333333,HW,PreFenton,0
295.155083333333,HW,PreFenton,0
297.082706666667,HW,PreFenton,0
297.0979525,HW,PreFenton,0
297.1343675,HW,PreFenton,0
297.1707625,HW,PreFenton,0
297.243505,HW,PreFenton,0
298.14084,HW,PreFenton,0
299.077215,HW,PreFenton,0
299.11365875,HW,PreFenton,0
299.150027692308,HW,PreFenton,0
299.186401,HW,PreFenton,0
299.201636666667,HW,PreFenton,0
301.1293,HW,PreFenton,0
301.165639166667,HW,PreFenton,0
301.202024444444,HW,PreFenton,0
303.108553333333,HW,PreFenton,0
303.14493,HW,PreFenton,0
303.18131,HW,PreFenton,0
303.217688888889,HW,PreFenton,0
305.1394575,HW,PreFenton,0
305.160575,HW,PreFenton,0
305.175805,HW,PreFenton,0
307.118680714286,HW,PreFenton,0
307.13984125,HW,PreFenton,0
307.155108461538,HW,PreFenton,0
307.19488,HW,PreFenton,0
311.186418571429,HW,PreFenton,0
311.22276,HW,PreFenton,0
311.295543333333,HW,PreFenton,0
313.176884285714,HW,PreFenton,0
313.180932,HW,PreFenton,0
313.202064444444,HW,PreFenton,0
313.238417142857,HW,PreFenton,0
314.135762857143,HW,PreFenton,0
315.1237925,HW,PreFenton,0
315.196585,HW,PreFenton,0
315.217709230769,HW,PreFenton,0
315.2541175,HW,PreFenton,0
316.151437,HW,PreFenton,0
317.17586,HW,PreFenton,0
319.08571,HW,PreFenton,0
319.176228888889,HW,PreFenton,0
319.191491111111,HW,PreFenton,0
319.212618333333,HW,PreFenton,0
321.119147777778,HW,PreFenton,0
321.155497777778,HW,PreFenton,0
321.2071075,HW,PreFenton,0
321.210516666667,HW,PreFenton,0
322.140835,HW,PreFenton,0
323.116983333333,HW,PreFenton,0
323.153402222222,HW,PreFenton,0
